SMILES,logS
OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O,-0.77
Cc1occc1C(=O)Nc2ccccc2,-3.30
c1ccc(cc1)O,-1.46
CC(=O)Oc1ccccc1C(=O)O,-1.58
c1ccc(cc1)N,-1.04
c1ccccc1,-2.13
CCO,-0.18
CCCCCCCCCCCCCCCC(=O)O,-5.83
CCCCCCCC(=O)O,-3.05
CC(C)Cc1ccc(cc1)C(C)C(=O)O,-4.52
CCC(CC)CO,-0.77
c1ccc(c(c1)O)O,-0.67
CC(C)(C)c1ccc(cc1)O,-2.68
CC(C)c1ccccc1,-3.70
c1ccc2c(c1)ccc3c2ccc4c3cccc4,-7.87
COc1cc(ccc1O)C=O,-1.35
c1ccc(cc1)C(=O)O,-1.87
CCc1ccccc1,-3.15
CCCc1ccccc1,-3.69
c1ccc(cc1)c2ccccc2,-4.46
CCc1ccccc1O,-2.08
Cc1ccccc1,-2.73
Cc1ccccc1O,-1.48
c1ccc(cc1)CO,-0.79
CC(C)(C)C,-3.11
CCCC,-2.51
CCC,-1.81
CC,-1.09
c1ccc(cc1)Cl,-2.98
Clc1ccccc1Cl,-3.38
c1ccc(c(c1)Cl)Cl,-3.42
Clc1cccc(c1)Cl,-3.52
Clc1ccc(cc1)Cl,-3.39
Clc1cc(cc(c1)Cl)Cl,-4.19
Clc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl,-5.07
Clc1ccc(c(c1)Cl)Cl,-3.91
c1ccc(cc1)Br,-3.16
c1ccc(cc1)I,-3.22
Fc1ccccc1,-2.27
c1ccc(cc1)C#N,-1.56
CC(C)O,-0.28
CCCO,-0.42
CCCCO,-0.61
CCCCCO,-0.98
CCCCCCO,-1.41
CCCCCCCO,-1.83
CCCCCCCCO,-2.25
CCCCCCCCCO,-2.67
CCCCCCCCCCO,-3.09
CCC(C)O,-0.70
CC(C)CO,-0.42
CC(C)(C)O,-0.53
c1ccc(cc1)CC(=O)O,-1.55
CCN(CC)CC,-1.30
c1ccc(cc1)N(C)C,-1.83
c1ccc(cc1)CCCO,-1.92
c1ccc(cc1)CCC,-3.56
c1ccc(cc1)CC,-3.08
CC(C)c1ccc(cc1)C(C)C,-4.70
CC(C)Cc1ccccc1,-3.65
c1ccc2c(c1)cccc2,-4.45
c1ccc2c(c1)Cc3c2cccc3,-6.36
c1ccc2c(c1)cc3c(c2)cccc3,-6.20
c1ccc2c(c1)ccc3c2cccc3,-6.70
COc1ccccc1,-1.85
CCOc1ccccc1,-2.43
COc1ccccc1O,-1.23
COc1ccc(cc1)O,-1.05
Cc1ccc(cc1)O,-1.95
Cc1cccc(c1)O,-1.95
Cc1ccccc1C,-3.15
CCc1ccc(cc1)CC,-4.13
c1ccc(cc1)C(C)(C)C,-4.11
CCCCc1ccccc1,-4.57
Cc1cc(cc(c1)C)C,-3.73
Cc1ccc(c(c1)C)C,-3.73
Cc1cccc(c1C)C,-3.60
c1ccc(c(c1)c2ccccc2)c3ccccc3,-6.49
c1ccc(cc1)c2ccc(cc2)c3ccccc3,-7.05
CC(C)c1ccc(cc1)C(C)(C)C,-5.18
CCCCCCCCCCCCCC,-7.36
CCCCCCCC,-4.09
CCCCCC,-3.05
CCCC(C)C,-2.49
CCC(C)C,-2.09
CC(C)C,-1.69
CC(C)(C)C(C)(C)C,-3.69
N#Cc1ccccc1C#N,-1.60
c1ccc(c(c1)C#N)C#N,-1.49
c1ccc(cc1C#N)C#N,-1.49
Cc1ccc(cc1)C#N,-2.18
c1ccc(c(c1)O)C=O,-0.72
c1ccc(cc1)C=O,-1.48
CCc1ccc(cc1)C(=O)O,-2.62
Cc1ccc(cc1)C(=O)O,-2.25
c1ccc(c(c1)C(=O)O)C(=O)O,-1.41
